22 - 36, government, pre-primary, *, *, *, *, north-america, 10075
34 - 35, government, some-college, married-civ-spouse, protective-serv, *, male, united-states, 88168
34 - 35, government, some-college, married-civ-spouse, protective-serv, *, male, united-states, 74806
34 - 35, government, some-college, married-civ-spouse, protective-serv, *, male, united-states, 59446
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 57058
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 56783
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 63330
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 86148
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 67527
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 73748
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 73175
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 94929
36 - 37, government, some-college, married, protective-serv, *, male, united-states, 65433
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 96601
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 40742
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 52549
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 55542
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 81572
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 87125
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 80659
20 - 26, government, some-college, married-civ-spouse, other-service, *, male, *, 47310
27 - 32, government, pre-university, married, other-service, *, male, united-states, 92627
27 - 32, government, pre-university, married, other-service, *, male, united-states, 81583
27 - 32, government, pre-university, married, other-service, *, male, united-states, 61423
27 - 32, government, pre-university, married, other-service, *, male, united-states, 51222
27 - 32, government, pre-university, married, other-service, *, male, united-states, 54847
27 - 32, government, pre-university, married, other-service, *, male, united-states, 68664
27 - 32, government, pre-university, married, other-service, *, male, united-states, 50554
33 - 35, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 76718
33 - 35, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 40235
33 - 35, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 70187
33 - 35, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 53317
33 - 35, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 72093
33 - 35, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 86654
35 - 37, government, some-college, married-civ-spouse, other-service, *, male, united-states, 54254
35 - 37, government, some-college, married-civ-spouse, other-service, *, male, united-states, 99862
35 - 37, government, some-college, married-civ-spouse, other-service, *, male, united-states, 72296
35 - 37, government, some-college, married-civ-spouse, other-service, *, male, united-states, 67603
35 - 37, government, some-college, married-civ-spouse, other-service, *, male, united-states, 96212
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 62027
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 91164
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 75144
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 70003
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 58234
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 65881
29 - 37, local-gov, pre-university, married, other-service, white, female, united-states, 74712
25 - 37, state-gov, pre-university, married, other-service, white, female, united-states, 93828
25 - 37, state-gov, pre-university, married, other-service, white, female, united-states, 87536
25 - 37, state-gov, pre-university, married, other-service, white, female, united-states, 55198
25 - 37, state-gov, pre-university, married, other-service, white, female, united-states, 46584
25 - 37, state-gov, pre-university, married, other-service, white, female, united-states, 82881
25 - 37, state-gov, pre-university, married, other-service, white, female, united-states, 39121
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 92791
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 56288
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 60499
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 39249
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 77850
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 99755
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 78030
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 49102
24 - 37, government, pre-university, divorced, manual-labour, *, male, united-states, 88218
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 72745
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 64918
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 78403
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 63392
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 62020
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 95451
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 92516
23 - 37, federal-gov, pre-university, never-married, skilled, *, male, united-states, 92483
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 61008
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 47397
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 40982
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 94399
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 43746
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 86661
19 - 37, local-gov, pre-university, never-married, skilled, *, male, united-states, 50899
20 - 31, state-gov, pre-university, never-married, craft-repair, white, male, united-states, 45557
20 - 31, state-gov, pre-university, never-married, craft-repair, white, male, united-states, 88738
20 - 31, state-gov, pre-university, never-married, craft-repair, white, male, united-states, 45502
20 - 31, state-gov, pre-university, never-married, craft-repair, white, male, united-states, 80604
20 - 31, state-gov, pre-university, never-married, craft-repair, white, male, united-states, 94435
19 - 25, federal-gov, pre-university, never-married, unskilled, *, male, *, 88603
19 - 25, federal-gov, pre-university, never-married, unskilled, *, male, *, 73628
19 - 25, federal-gov, pre-university, never-married, unskilled, *, male, *, 89496
19 - 25, federal-gov, pre-university, never-married, unskilled, *, male, *, 69034
19 - 25, federal-gov, pre-university, never-married, unskilled, *, male, *, 85358
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 91314
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 40415
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 93657
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 82479
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 92897
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 70212
20 - 22, local-gov, pre-university, never-married, unskilled, *, male, united-states, 94482
23 - 25, local-gov, pre-university, never-married, unskilled, *, male, *, 72427
23 - 25, local-gov, pre-university, never-married, unskilled, *, male, *, 79455
23 - 25, local-gov, pre-university, never-married, unskilled, *, male, *, 53890
23 - 25, local-gov, pre-university, never-married, unskilled, *, male, *, 49124
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 46410
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 69480
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 62811
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 83680
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 83623
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 48669
26 - 29, local-gov, pre-university, never-married, unskilled, *, male, united-states, 87476
30 - 36, local-gov, pre-university, never-married, unskilled, *, male, central-north-america, 41987
30 - 36, local-gov, pre-university, never-married, unskilled, *, male, central-north-america, 42528
30 - 36, local-gov, pre-university, never-married, unskilled, *, male, central-north-america, 80504
30 - 36, local-gov, pre-university, never-married, unskilled, *, male, central-north-america, 80978
19 - 22, state-gov, pre-university, never-married, unskilled, white, male, united-states, 49063
