*, *, pre-primary, married, *, *, *, *, 19264
*, *, prof-school, married, *, *, *, *, 135533
*, *, prof-school, married, *, *, *, *, 105865
*, *, prof-school, married, *, *, *, *, 61696
*, *, prof-school, married, *, *, *, *, 85248
*, *, prof-school, married, *, *, *, *, 100215
*, *, prof-school, married, *, *, *, *, 72055
*, *, prof-school, married, *, *, *, *, 50238
*, *, prof-school, married, *, *, *, *, 54946
*, *, prof-school, married, *, *, *, *, 62654
*, *, prof-school, married, *, *, *, *, 124705
*, *, prof-school, married, *, *, *, *, 80004
*, *, prof-school, married, *, *, *, *, 62565
*, *, prof-school, married, *, *, *, *, 95435
*, *, prof-school, married, *, *, *, *, 102954
*, *, prof-school, married, *, *, *, *, 136563
*, *, prof-school, married, *, *, *, *, 133465
*, *, prof-school, married, *, *, *, *, 75651
*, *, prof-school, married, *, *, *, *, 136742
*, *, prof-school, married, *, *, *, *, 69820
*, *, prof-school, married, *, *, *, *, 135366
*, *, prof-school, married, *, *, *, *, 87325
*, *, prof-school, married, *, *, *, *, 130050
*, *, prof-school, married, *, *, *, *, 61647
*, *, prof-school, married, *, *, *, *, 78043
*, *, prof-school, married, *, *, *, *, 51433
*, *, prof-school, married, *, *, *, *, 92663
*, *, prof-school, married, *, *, *, *, 114013
*, *, prof-school, married, *, *, *, *, 72270
*, *, prof-school, married, *, *, *, *, 124899
*, *, prof-school, married, *, *, *, *, 91366
*, *, prof-school, married, *, *, *, *, 69357
*, *, prof-school, married, *, *, *, *, 112697
*, *, prof-school, married, *, *, *, *, 66860
*, *, prof-school, married, *, *, *, *, 57213
*, *, prof-school, married, *, *, *, *, 113769
*, *, prof-school, married, *, *, *, *, 77266
*, *, prof-school, married, *, *, *, *, 81412
*, *, prof-school, married, *, *, *, *, 139312
*, *, prof-school, married, *, *, *, *, 134133
*, *, prof-school, married, *, *, *, *, 104019
*, *, prof-school, married, *, *, *, *, 122795
*, *, prof-school, married, *, *, *, *, 137834
*, *, prof-school, married, *, *, *, *, 80847
*, *, prof-school, married, *, *, *, *, 79184
*, *, prof-school, married, *, *, *, *, 71493
*, *, prof-school, married, *, *, *, *, 80362
*, *, prof-school, married, *, *, *, *, 89180
*, *, prof-school, married, *, *, *, *, 73705
*, *, prof-school, married, *, *, *, *, 71337
*, *, prof-school, married, *, *, *, *, 114184
*, *, prof-school, married, *, *, *, *, 106057
*, *, prof-school, married, *, *, *, *, 132942
*, *, prof-school, married, *, *, *, *, 88481
*, *, prof-school, married, *, *, *, *, 72610
*, *, prof-school, married, *, *, *, *, 77337
*, *, prof-school, married, *, *, *, *, 121958
*, *, prof-school, married, *, *, *, *, 76355
*, *, prof-school, married, *, *, *, *, 132257
*, *, prof-school, married, *, *, *, *, 65111
*, *, prof-school, married, *, *, *, *, 92707
*, *, prof-school, married, *, *, *, *, 100536
*, *, prof-school, married, *, *, *, *, 68107
*, *, prof-school, married, *, *, *, *, 129293
*, *, prof-school, married, *, *, *, *, 135877
*, *, prof-school, married, *, *, *, *, 139088
*, *, prof-school, married, *, *, *, *, 123533
*, *, prof-school, married, *, *, *, *, 112308
*, *, prof-school, married, *, *, *, *, 92889
*, *, prof-school, married, *, *, *, *, 135623
*, *, prof-school, married, *, *, *, *, 77977
*, *, prof-school, married, *, *, *, *, 125080
*, *, prof-school, married, *, *, *, *, 81251
*, *, prof-school, married, *, *, *, *, 126841
*, *, prof-school, married, *, *, *, *, 53259
*, *, prof-school, married, *, *, *, *, 112621
*, *, prof-school, married, *, *, *, *, 111507
*, *, prof-school, married, *, *, *, *, 101023
*, *, prof-school, married, *, *, *, *, 107236
*, *, prof-school, married, *, *, *, *, 122811
*, *, prof-school, married, *, *, *, *, 107350
*, *, prof-school, married, *, *, *, *, 98916
*, *, prof-school, married, *, *, *, *, 74323
*, *, prof-school, married, *, *, *, *, 136210
*, *, prof-school, married, *, *, *, *, 74337
*, *, prof-school, married, *, *, *, *, 59753
*, *, prof-school, married, *, *, *, *, 100822
*, *, prof-school, married, *, *, *, *, 110736
*, *, prof-school, married, *, *, *, *, 70530
*, *, prof-school, married, *, *, *, *, 119336
*, *, prof-school, married, *, *, *, *, 111216
*, *, prof-school, married, *, *, *, *, 86778
*, *, prof-school, married, *, *, *, *, 67962
*, *, prof-school, married, *, *, *, *, 118202
*, *, prof-school, married, *, *, *, *, 119839
*, *, prof-school, married, *, *, *, *, 124232
*, *, prof-school, married, *, *, *, *, 84820
*, *, prof-school, married, *, *, *, *, 67179
*, *, prof-school, married, *, *, *, *, 131015
*, *, prof-school, married, *, *, *, *, 119475
*, *, prof-school, married, *, *, *, *, 116219
*, *, prof-school, married, *, *, *, *, 80354
*, *, prof-school, married, *, *, *, *, 139936
*, *, prof-school, married, *, *, *, *, 132567
*, *, prof-school, married, *, *, *, *, 84024
*, *, prof-school, married, *, *, *, *, 121055
*, *, prof-school, married, *, *, *, *, 71844
*, *, prof-school, married, *, *, *, *, 75228
*, *, prof-school, married, *, *, *, *, 114189
*, *, prof-school, married, *, *, *, *, 135511
*, *, prof-school, married, *, *, *, *, 66312
*, *, prof-school, married, *, *, *, *, 118619
*, *, prof-school, married, *, *, *, *, 83570
*, *, prof-school, married, *, *, *, *, 99515
*, *, prof-school, married, *, *, *, *, 62342
*, *, prof-school, married, *, *, *, *, 117909
*, *, prof-school, married, *, *, *, *, 100951
*, *, prof-school, married, *, *, *, *, 98290
*, *, prof-school, married, *, *, *, *, 67795
*, *, prof-school, married, *, *, *, *, 93718
*, *, prof-school, married, *, *, *, *, 62171
*, *, prof-school, married, *, *, *, *, 138799
*, *, prof-school, married, *, *, *, *, 62674
*, *, prof-school, married, *, *, *, *, 128450
*, *, prof-school, married, *, *, *, *, 89561
*, *, prof-school, married, *, *, *, *, 111235
*, *, prof-school, married, *, *, *, *, 95315
*, *, prof-school, married, *, *, *, *, 123593
*, *, prof-school, married, *, *, *, *, 69700
*, *, prof-school, married, *, *, *, *, 65646
*, *, prof-school, married, *, *, *, *, 83710
*, *, prof-school, married, *, *, *, *, 117975
*, *, prof-school, married, *, *, *, *, 60742
*, *, prof-school, married, *, *, *, *, 74545
*, *, prof-school, married, *, *, *, *, 108342
*, *, prof-school, married, *, *, *, *, 89271
*, *, prof-school, married, *, *, *, *, 135198
*, *, prof-school, married, *, *, *, *, 96591
*, *, prof-school, married, *, *, *, *, 81356
*, *, prof-school, married, *, *, *, *, 89835
*, *, prof-school, married, *, *, *, *, 65949
*, *, prof-school, married, *, *, *, *, 96457
*, *, prof-school, married, *, *, *, *, 57231
*, *, prof-school, married, *, *, *, *, 108398
*, *, prof-school, married, *, *, *, *, 59125
*, *, prof-school, married, *, *, *, *, 73049
*, *, prof-school, married, *, *, *, *, 66201
*, *, prof-school, married, *, *, *, *, 94299
*, *, prof-school, married, *, *, *, *, 115690
*, *, prof-school, married, *, *, *, *, 108557
*, *, prof-school, married, *, *, *, *, 103642
*, *, prof-school, married, *, *, *, *, 51389
*, *, prof-school, married, *, *, *, *, 113501
*, *, prof-school, married, *, *, *, *, 67740
*, *, prof-school, married, *, *, *, *, 73745
*, *, prof-school, married, *, *, *, *, 130143
*, *, prof-school, married, *, *, *, *, 108771
*, *, prof-school, married, *, *, *, *, 65639
*, *, prof-school, married, *, *, *, *, 137591
*, *, prof-school, married, *, *, *, *, 88844
*, *, prof-school, married, *, *, *, *, 125699
*, *, prof-school, married, *, *, *, *, 57668
*, *, prof-school, married, *, *, *, *, 119292
*, *, prof-school, married, *, *, *, *, 80145
*, *, prof-school, married, *, *, *, *, 122888
*, *, prof-school, married, *, *, *, *, 121754
*, *, prof-school, married, *, *, *, *, 122425
*, *, prof-school, married, *, *, *, *, 96255
*, *, prof-school, married, *, *, *, *, 88948
*, *, prof-school, married, *, *, *, *, 115113
*, *, prof-school, married, *, *, *, *, 99252
*, *, prof-school, married, *, *, *, *, 99565
*, *, prof-school, married, *, *, *, *, 116377
*, *, prof-school, married, *, *, *, *, 79616
*, *, prof-school, married, *, *, *, *, 66793
*, *, prof-school, married, *, *, *, *, 125128
*, *, prof-school, married, *, *, *, *, 84011
*, *, prof-school, married, *, *, *, *, 81172
*, *, prof-school, married, *, *, *, *, 82559
*, *, prof-school, married, *, *, *, *, 56962
*, *, prof-school, married, *, *, *, *, 83473
*, *, prof-school, married, *, *, *, *, 51995
*, *, prof-school, married, *, *, *, *, 122676
*, *, prof-school, married, *, *, *, *, 126080
*, *, prof-school, married, *, *, *, *, 110770
*, *, prof-school, married, *, *, *, *, 104763
*, *, prof-school, married, *, *, *, *, 90940
*, *, prof-school, married, *, *, *, *, 82372
*, *, prof-school, married, *, *, *, *, 109983
*, *, prof-school, married, *, *, *, *, 115040
*, *, prof-school, married, *, *, *, *, 64153
*, *, prof-school, married, *, *, *, *, 61426
*, *, prof-school, married, *, *, *, *, 89609
*, *, prof-school, married, *, *, *, *, 69535
*, *, prof-school, married, *, *, *, *, 131777
*, *, prof-school, married, *, *, *, *, 82800
*, *, prof-school, married, *, *, *, *, 112073
*, *, prof-school, married, *, *, *, *, 84141
*, *, prof-school, married, *, *, *, *, 102842
*, *, prof-school, married, *, *, *, *, 93388
*, *, prof-school, married, *, *, *, *, 75042
*, *, prof-school, married, *, *, *, *, 93447
*, *, prof-school, married, *, *, *, *, 109379
*, *, prof-school, married, *, *, *, *, 117197
*, *, prof-school, married, *, *, *, *, 87491
*, *, prof-school, married, *, *, *, *, 133993
*, *, prof-school, married, *, *, *, *, 66844
*, *, prof-school, married, *, *, *, *, 111249
*, *, prof-school, married, *, *, *, *, 133509
*, *, prof-school, married, *, *, *, *, 116598
*, *, prof-school, married, *, *, *, *, 62012
*, *, prof-school, married, *, *, *, *, 120725
*, *, prof-school, married, *, *, *, *, 57507
*, *, prof-school, married, *, *, *, *, 52837
*, *, prof-school, married, *, *, *, *, 136703
*, *, prof-school, married, *, *, *, *, 112323
*, *, prof-school, married, *, *, *, *, 113920
*, *, prof-school, married, *, *, *, *, 72072
*, *, prof-school, married, *, *, *, *, 75064
*, *, prof-school, married, *, *, *, *, 65960
*, *, prof-school, married, *, *, *, *, 128270
*, *, prof-school, married, *, *, *, *, 125732
*, *, prof-school, married, *, *, *, *, 57507
*, *, prof-school, married, *, *, *, *, 68135
*, *, prof-school, married, *, *, *, *, 80904
*, *, prof-school, married, *, *, *, *, 77634
*, *, prof-school, married, *, *, *, *, 137123
*, *, prof-school, married, *, *, *, *, 128656
*, *, prof-school, married, *, *, *, *, 68301
*, *, prof-school, married, *, *, *, *, 122268
*, *, prof-school, married, *, *, *, *, 91315
*, *, prof-school, married, *, *, *, *, 132953
*, *, prof-school, married, *, *, *, *, 50029
*, *, prof-school, married, *, *, *, *, 90774
*, *, prof-school, married, *, *, *, *, 79752
*, *, prof-school, married, *, *, *, *, 132452
*, *, prof-school, married, *, *, *, *, 126175
*, *, prof-school, married, *, *, *, *, 135499
*, *, prof-school, married, *, *, *, *, 125095
*, *, prof-school, married, *, *, *, *, 56708
*, *, prof-school, married, *, *, *, *, 95003
*, *, prof-school, married, *, *, *, *, 71556
*, *, prof-school, married, *, *, *, *, 56064
*, *, prof-school, married, *, *, *, *, 126872
*, *, prof-school, married, *, *, *, *, 105876
*, *, prof-school, married, *, *, *, *, 139756
*, *, prof-school, married, *, *, *, *, 53939
*, *, prof-school, married, *, *, *, *, 83414
*, *, prof-school, married, *, *, *, *, 75526
*, *, prof-school, married, *, *, *, *, 85836
*, *, prof-school, married, *, *, *, *, 64637
*, *, prof-school, married, *, *, *, *, 53523
*, *, prof-school, married, *, *, *, *, 93298
*, *, prof-school, married, *, *, *, *, 75005
*, *, prof-school, married, *, *, *, *, 87058
*, *, prof-school, married, *, *, *, *, 83903
*, *, prof-school, married, *, *, *, *, 130909
*, *, prof-school, married, *, *, *, *, 120584
*, *, prof-school, married, *, *, *, *, 51688
*, *, prof-school, married, *, *, *, *, 71810
*, *, prof-school, married, *, *, *, *, 80148
*, *, prof-school, married, *, *, *, *, 96022
*, *, prof-school, married, *, *, *, *, 122351
*, *, prof-school, married, *, *, *, *, 129893
*, *, prof-school, married, *, *, *, *, 53411
*, *, prof-school, married, *, *, *, *, 101612
*, *, prof-school, married, *, *, *, *, 114603
*, *, prof-school, married, *, *, *, *, 52223
*, *, prof-school, married, *, *, *, *, 137509
*, *, prof-school, married, *, *, *, *, 104442
*, *, prof-school, married, *, *, *, *, 133168
*, *, prof-school, married, *, *, *, *, 81235
*, *, prof-school, married, *, *, *, *, 126620
*, *, prof-school, married, *, *, *, *, 92431
*, *, prof-school, married, *, *, *, *, 107992
*, *, prof-school, married, *, *, *, *, 57966
*, *, prof-school, married, *, *, *, *, 58762
*, *, prof-school, married, *, *, *, *, 107371
*, *, prof-school, married, *, *, *, *, 125529
*, *, prof-school, married, *, *, *, *, 88746
*, *, prof-school, married, *, *, *, *, 131627
*, *, prof-school, married, *, *, *, *, 98584
*, *, prof-school, married, *, *, *, *, 106064
*, *, prof-school, married, *, *, *, *, 112063
*, *, prof-school, married, *, *, *, *, 63937
*, *, prof-school, married, *, *, *, *, 82619
*, *, prof-school, married, *, *, *, *, 84723
*, *, prof-school, married, *, *, *, *, 52984
*, *, prof-school, married, *, *, *, *, 58269
*, *, prof-school, married, *, *, *, *, 119413
*, *, prof-school, married, *, *, *, *, 117063
*, *, prof-school, married, *, *, *, *, 107597
*, *, prof-school, married, *, *, *, *, 102540
*, *, prof-school, married, *, *, *, *, 81810
*, *, prof-school, married, *, *, *, *, 89829
*, *, prof-school, married, *, *, *, *, 61827
*, *, prof-school, married, *, *, *, *, 115483
*, *, prof-school, married, *, *, *, *, 60934
*, *, prof-school, married, *, *, *, *, 74782
*, *, prof-school, married, *, *, *, *, 113555
*, *, prof-school, married, *, *, *, *, 135148
*, *, prof-school, married, *, *, *, *, 108445
*, *, prof-school, married, *, *, *, *, 63289
*, *, prof-school, married, *, *, *, *, 68539
*, *, prof-school, married, *, *, *, *, 115755
*, *, prof-school, married, *, *, *, *, 129548
*, *, prof-school, married, *, *, *, *, 58563
*, *, prof-school, married, *, *, *, *, 58590
*, *, prof-school, married, *, *, *, *, 129515
*, *, prof-school, married, *, *, *, *, 115256
*, *, prof-school, married, *, *, *, *, 66035
*, *, prof-school, married, *, *, *, *, 51708
*, *, prof-school, married, *, *, *, *, 99346
*, *, prof-school, married, *, *, *, *, 92650
*, *, prof-school, married, *, *, *, *, 53278
*, *, prof-school, married, *, *, *, *, 116367
*, *, prof-school, married, *, *, *, *, 72725
*, *, prof-school, married, *, *, *, *, 102181
*, *, prof-school, married, *, *, *, *, 114677
*, *, prof-school, married, *, *, *, *, 71221
*, *, prof-school, married, *, *, *, *, 71875
*, *, prof-school, married, *, *, *, *, 123293
*, *, prof-school, married, *, *, *, *, 78674
*, *, prof-school, married, *, *, *, *, 74916
*, *, prof-school, married, *, *, *, *, 101458
*, *, prof-school, married, *, *, *, *, 118746
*, *, prof-school, married, *, *, *, *, 64729
*, *, prof-school, married, *, *, *, *, 134856
*, *, prof-school, married, *, *, *, *, 115215
*, *, prof-school, married, *, *, *, *, 86119
*, *, prof-school, married, *, *, *, *, 133042
*, *, prof-school, married, *, *, *, *, 116565
*, *, prof-school, married, *, *, *, *, 88376
*, *, prof-school, married, *, *, *, *, 66488
*, *, prof-school, married, *, *, *, *, 138266
*, *, prof-school, married, *, *, *, *, 73911
*, *, prof-school, married, *, *, *, *, 97508
*, *, prof-school, married, *, *, *, *, 104783
*, *, prof-school, married, *, *, *, *, 107796
*, *, prof-school, married, *, *, *, *, 92159
*, *, prof-school, married, *, *, *, *, 83210
*, *, prof-school, married, *, *, *, *, 90433
*, *, prof-school, married, *, *, *, *, 58710
*, *, prof-school, married, *, *, *, *, 96839
*, *, prof-school, married, *, *, *, *, 77998
*, *, prof-school, married, *, *, *, *, 57783
*, *, prof-school, married, *, *, *, *, 77327
*, *, prof-school, married, *, *, *, *, 107175
*, *, prof-school, married, *, *, *, *, 139283
*, *, prof-school, married, *, *, *, *, 55068
*, *, prof-school, married, *, *, *, *, 139237
*, *, prof-school, married, *, *, *, *, 97607
*, *, prof-school, married, *, *, *, *, 95411
*, *, prof-school, married, *, *, *, *, 81961
*, *, prof-school, married, *, *, *, *, 58677
*, *, prof-school, married, *, *, *, *, 101049
*, *, prof-school, married, *, *, *, *, 72634
*, *, prof-school, married, *, *, *, *, 94689
*, *, prof-school, married, *, *, *, *, 81740
*, *, prof-school, married, *, *, *, *, 68575
*, *, prof-school, married, *, *, *, *, 139850
*, *, prof-school, married, *, *, *, *, 74642
*, *, prof-school, married, *, *, *, *, 88723
*, *, prof-school, married, *, *, *, *, 108829
*, *, prof-school, married, *, *, *, *, 58923
*, *, prof-school, married, *, *, *, *, 131668
*, *, prof-school, married, *, *, *, *, 109817
*, *, prof-school, married, *, *, *, *, 103030
*, *, prof-school, married, *, *, *, *, 56845
*, *, prof-school, married, *, *, *, *, 120328
*, *, prof-school, married, *, *, *, *, 122001
*, *, prof-school, married, *, *, *, *, 128216
*, *, prof-school, married, *, *, *, *, 77257
*, *, prof-school, married, *, *, *, *, 138039
*, *, prof-school, married, *, *, *, *, 79400
*, *, prof-school, married, *, *, *, *, 93401
*, *, prof-school, married, *, *, *, *, 51321
*, *, prof-school, married, *, *, *, *, 101101
*, *, prof-school, married, *, *, *, *, 97437
*, *, prof-school, married, *, *, *, *, 70933
*, *, prof-school, married, *, *, *, *, 115120
*, *, prof-school, married, *, *, *, *, 107617
*, *, prof-school, married, *, *, *, *, 57741
*, *, prof-school, married, *, *, *, *, 132641
*, *, prof-school, married, *, *, *, *, 101117
*, *, prof-school, married, *, *, *, *, 99156
*, *, prof-school, married, *, *, *, *, 114558
*, *, prof-school, married, *, *, *, *, 132315
*, *, prof-school, married, *, *, *, *, 58813
*, *, prof-school, married, *, *, *, *, 95288
*, *, prof-school, married, *, *, *, *, 125892
*, *, prof-school, married, *, *, *, *, 56513
*, *, prof-school, married, *, *, *, *, 129462
*, *, prof-school, married, *, *, *, *, 121168
*, *, prof-school, married, *, *, *, *, 95914
*, *, prof-school, married, *, *, *, *, 117013
*, *, prof-school, married, *, *, *, *, 91782
