22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
37, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 19737
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 179926
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 195155
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 194790
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 63626
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 75617
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 55399
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 188719
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 70228
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 88501
34 - 36, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 58645
37, local-gov, some-college, married-civ-spouse, protective-serv, white, male, central-north-america, 198837
24 - 25, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 92631
24 - 25, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 143568
26, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 94944
26, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 186845
28, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 35114
28, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 83715
29 - 30, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 81596
29 - 30, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 58903
29 - 30, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 82594
25, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 188930
25, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 46690
26 - 29, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 170767
26 - 29, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 132352
26 - 29, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 117373
32, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 90345
32, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 144436
32, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 196279
33 - 35, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 88813
33 - 35, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 106673
33 - 35, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 189585
33 - 35, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 98856
36, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 37203
36, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 81561
36, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 187591
34 - 36, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 59108
34 - 36, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 153483
24 - 37, local-gov, some-college, separated, protective-serv, *, male, united-states, 131375
24 - 37, local-gov, some-college, separated, protective-serv, *, male, united-states, 117292
27 - 32, local-gov, pre-university, married, protective-serv, white, female, *, 47063
27 - 32, local-gov, pre-university, married, protective-serv, white, female, *, 180559
27 - 32, local-gov, pre-university, married, protective-serv, white, female, *, 110211
20, state-gov, some-college, married-civ-spouse, other-service, white, male, united-states, 120808
20, state-gov, some-college, married-civ-spouse, other-service, white, male, united-states, 67614
22, state-gov, some-college, married-civ-spouse, other-service, *, male, united-states, 182419
22, state-gov, some-college, married-civ-spouse, other-service, *, male, united-states, 148326
24 - 25, government, some-college, married-civ-spouse, other-service, *, male, *, 159981
24 - 25, government, some-college, married-civ-spouse, other-service, *, male, *, 142701
27 - 30, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 180770
27 - 30, government, hs-grad, married-civ-spouse, other-service, *, male, united-states, 83987
32, local-gov, hs-grad, married-civ-spouse, other-service, white, male, united-states, 52847
32, local-gov, hs-grad, married-civ-spouse, other-service, white, male, united-states, 88934
26 - 32, government, some-college, married-civ-spouse, other-service, white, male, united-states, 50771
26 - 32, government, some-college, married-civ-spouse, other-service, white, male, united-states, 118307
26 - 32, government, some-college, married-civ-spouse, other-service, white, male, united-states, 151975
33, local-gov, hs-grad, married-civ-spouse, other-service, *, male, united-states, 42659
33, local-gov, hs-grad, married-civ-spouse, other-service, *, male, united-states, 57877
34 - 35, local-gov, hs-grad, married-civ-spouse, other-service, *, male, united-states, 168532
34 - 35, local-gov, hs-grad, married-civ-spouse, other-service, *, male, united-states, 160076
34 - 35, local-gov, hs-grad, married-civ-spouse, other-service, *, male, united-states, 135254
35, local-gov, some-college, married-civ-spouse, other-service, white, male, united-states, 139887
35, local-gov, some-college, married-civ-spouse, other-service, white, male, united-states, 139203
37, local-gov, some-college, married-civ-spouse, other-service, *, male, united-states, 92127
37, local-gov, some-college, married-civ-spouse, other-service, *, male, united-states, 195481
33 - 37, state-gov, pre-university, married-civ-spouse, other-service, white, male, united-states, 79860
33 - 37, state-gov, pre-university, married-civ-spouse, other-service, white, male, united-states, 19238
29 - 31, government, pre-university, married-spouse-absent, other-service, *, male, united-states, 100208
29 - 31, government, pre-university, married-spouse-absent, other-service, *, male, united-states, 129422
29 - 34, local-gov, pre-university, married-civ-spouse, other-service, white, female, united-states, 61566
29 - 34, local-gov, pre-university, married-civ-spouse, other-service, white, female, united-states, 108390
29 - 34, local-gov, pre-university, married-civ-spouse, other-service, white, female, united-states, 196472
36 - 37, local-gov, hs-grad, married-civ-spouse, other-service, white, female, united-states, 122381
36 - 37, local-gov, hs-grad, married-civ-spouse, other-service, white, female, united-states, 106054
30 - 33, local-gov, hs-grad, separated, other-service, white, female, united-states, 48631
30 - 33, local-gov, hs-grad, separated, other-service, white, female, united-states, 90766
25 - 30, state-gov, pre-university, married, other-service, white, female, united-states, 87899
25 - 30, state-gov, pre-university, married, other-service, white, female, united-states, 52530
25 - 30, state-gov, pre-university, married, other-service, white, female, united-states, 137532
36 - 37, state-gov, hs-grad, married, other-service, white, female, united-states, 178177
36 - 37, state-gov, hs-grad, married, other-service, white, female, united-states, 36725
36 - 37, state-gov, hs-grad, married, other-service, white, female, united-states, 138154
23 - 25, federal-gov, pre-university, never-married, manual-labour, amer-indian-eskimo, male, united-states, 195912
23 - 25, federal-gov, pre-university, never-married, manual-labour, amer-indian-eskimo, male, united-states, 128186
26 - 27, government, hs-grad, never-married, unskilled, amer-indian-eskimo, male, united-states, 75044
26 - 27, government, hs-grad, never-married, unskilled, amer-indian-eskimo, male, united-states, 117653
29 - 36, local-gov, hs-grad, not-married, unskilled, asian-pac-islander, male, united-states, 144323
29 - 36, local-gov, hs-grad, not-married, unskilled, asian-pac-islander, male, united-states, 98778
29 - 36, local-gov, hs-grad, not-married, unskilled, asian-pac-islander, male, united-states, 78033
27, government, hs-grad, never-married, craft-repair, black, male, united-states, 75347
27, government, hs-grad, never-married, craft-repair, black, male, united-states, 87378
20 - 22, local-gov, hs-grad, never-married, handlers-cleaners, black, male, united-states, 121158
20 - 22, local-gov, hs-grad, never-married, handlers-cleaners, black, male, united-states, 193720
24 - 34, local-gov, pre-university, not-married, unskilled, black, male, united-states, 42626
24 - 34, local-gov, pre-university, not-married, unskilled, black, male, united-states, 13816
24 - 34, local-gov, pre-university, not-married, unskilled, black, male, united-states, 132853
25 - 34, state-gov, pre-university, never-married, unskilled, black, male, united-states, 72593
25 - 34, state-gov, pre-university, never-married, unskilled, black, male, united-states, 125651
19 - 28, local-gov, hs-grad, never-married, manual-labour, black, female, united-states, 75588
19 - 28, local-gov, hs-grad, never-married, manual-labour, black, female, united-states, 29833
30 - 32, local-gov, pre-university, never-married, transport-moving, black, female, united-states, 72786
30 - 32, local-gov, pre-university, never-married, transport-moving, black, female, united-states, 100906
31 - 32, government, hs-grad, divorced, craft-repair, white, male, united-states, 193905
31 - 32, government, hs-grad, divorced, craft-repair, white, male, united-states, 154491
33 - 37, government, hs-grad, divorced, skilled, white, male, united-states, 146270
33 - 37, government, hs-grad, divorced, skilled, white, male, united-states, 171673
33 - 37, government, hs-grad, divorced, skilled, white, male, united-states, 161782
36, government, some-college, divorced, unskilled, white, male, united-states, 154949
